sentence,generalizing,promoting,identity,attribute
"Un slogan politique ressurgi des années 80-90, lorsque le Front de libération nationale corse et ses ramifications étaient très actifs, qui lui conférait d’emblée une tonalité belliqueuse",0,0,corse,belliqueuse
"L’objectif est de conduire les locuteurs à faire en sorte que l’usage normal du corse ne soit ni militant, ni passéiste, ni volontariste, ni belliqueux, ni affecté, ni institutionnaliste, mais quotidien, impensé, transparent, généreux, courant et légitime, c’est-à-dire normal",0,0,corse,belliqueux
"13Les chants belliqueux ressurgissaient de l’histoire pour rejoindre le domaine de la propagande comme U Culombu composé par Petru Rocca en 1937 pour exalter la lutte politique, ou A Pasqualina, vieux chant martial des corses qui aurait été adapté à toutes leurs guerres",0,0,corse,belliqueux
"Dans un contexte marqué par des discours répressifs et belliqueux, nous échangerons sur les façons dont les sociétés basque et corse peuvent construire des espaces démocratiques et un dialogue avec l'Etat",0,0,corse,belliqueux
"les corses sont remuans, vindicatifs, & belliqueux",1,1,corse,belliqueux
"Beaucoup de différences avec les peuples primitifs corses, beaucoup moins belliqueux",1,1,corse,belliqueux
"Si le rapprochement entre ‘ça se corse’ et ‘la Corse’, a fortiori ses habitants ‘les Corses’, se fait, c’est que l’histoire de l’île et de ses habitants est une suite d’événements belliqueux, l’histoire d’une vie âpre, l’histoire d’une vie d’adaptation et de résistance",0,0,corse,belliqueux
"Ils sauront égayer votre chambre comme votre salon, machines a sous corse qui a été tout aussi belliqueux envers la Corée du Nord que Trump",0,0,corse,belliqueux
je vous laisse imaginer ce que ce genre de caractère peut donner une fois arrivé en Enfer où des divinités belliqueuses armées comme un militant corse un jour d'élection n'auront de cesse d'essayer de stopper notre héroïne qui tente de quitter ce lieu maudit,0,0,corse,belliqueuses
"Plus limité encore est l'organe de Lucia Cirillo en Elvira, acidulé et corseté, peinant à habiter un rôle pugnace, voire belliqueux",0,0,corse,belliqueux
Le bestiaire n’est pas en reste et corse l’aventure avec sa soixante-dizaine de créatures belliqueuses,0,0,corse,belliqueuses
"On disait les corses belliqueux et peu fins,je vois que vous ne dérogez pas à la règle",1,0,corse,belliqueux
